aar;selskab_id;vaerk_id;vrkanl_ny;selskab_navn;vaerk_postnr;vaerk_postdistrikt;vaerk_kommune;vrktypenavn;fv_net;fv_net_navn;anlaeg_navn;anlaegstype_navn;aktoer;idriftdato;skrotdato;elkapacitet_MW;varmekapacitet_MW;Hovedbrændsel;Hovedbrændselsgruppe;Kul_andel;Olie_andel;Naturgas_andel;Affald_andel;Biogas_andel;Fast biomasse_andel;Bio-olie_andel;Braendselsfrit_andel;Solenergi_andel;Vandkraft_andel;Elektricitet_andel;Omgivelsesvarme_andel
2025;1;1;1-14;Crossbridge Energy A/S;7000;Fredericia;607;Erhvervsværk;81;TVIS;U-5800 Overskudsvarme (del af 1-2);Overskudsvarme;pvp;1994-01-01 00:00:00;;0;56;braendselsfrit;braendselsfrit;;0;;;;0;;1;;;;
2025;1;1;1-2;Crossbridge Energy A/S;7000;Fredericia;607;Erhvervsværk;81;TVIS;U-2000 Gasturbine;Gasturbine;pev;1993-01-01 00:00:00;;26;52;raffinaderigas;olie;;1;;;;0;;;;;;
2025;4;3;3-2;ASSENS FJERNVARME A M B A;9550;Mariager;846;Fjernvarmeværk;209;Assens (v. Mariager) Fjernvarme;Oliereservekedel;Kedel;fvv;1994-11-01 00:00:00;;0;5,8;gasolie;olie;;1;;;;0;;;;;;
2025;4;3;3-3;ASSENS FJERNVARME A M B A;9550;Mariager;846;Fjernvarmeværk;209;Assens (v. Mariager) Fjernvarme;Fliskedel;Kedel;fvv;2008-10-01 00:00:00;;0;6;skovflis;fast biomasse;;0;;;;1;;;;;;
2025;5;5;5-2;AULUM FJERNVARME AMBA;7490;Aulum;657;Decentralt værk;159;Aulum Fjernvarme;Gasmotor;Forbrændingsmotor;kvt;2006-12-12 00:00:00;;5,1;5,65;naturgas;naturgas;;0;1;;;0;;;;;;
2025;5;5;5-3;AULUM FJERNVARME AMBA;7490;Aulum;657;Decentralt værk;159;Aulum Fjernvarme;Naturgas kedel;Kedel;fvv;2006-02-01 00:00:00;;0;11;naturgas;naturgas;;0;1;;;0;;;;;;
2025;5;5;5-5;AULUM FJERNVARME AMBA;7490;Aulum;657;Decentralt værk;159;Aulum Fjernvarme;Elkedel (ikke kvoteomfattet);Elpatron;fvv;2010-10-01 00:00:00;;0;10;elektricitet;elektricitet;;0;;;;0;;;;;1;
2025;5;5;5-6;AULUM FJERNVARME AMBA;7490;Aulum;657;Decentralt værk;159;Aulum Fjernvarme;Solvarme;Solvarme;fvv;2015-09-01 00:00:00;;0;11,1;solenergi;solenergi;;0;;;;0;;;1;;;
2025;5;5;5-7;AULUM FJERNVARME AMBA;7490;Aulum;657;Decentralt værk;159;Aulum Fjernvarme;Varmepumpe 1 og 2;Varmepumpe Luft;fvv;2020-09-10 00:00:00;;0;4;omgivelsesvarme;omgivelsesvarme;;0;;;;0;;;;;0,327632276;0,672367724
2025;6;6;6-10;Aabybro Fjernvarme A.m.b.a.;9440;Aabybro;849;Fjernvarmeværk;329;Aabybro Fjernvarme;Biomasse kedel;Kedel;fvv;2016-04-14 00:00:00;;0;10;skovflis;fast biomasse;;0;;;;1;;;;;;
